lib_mrq,lib_mod_doss,lib_mod,dscom,cnit,tvv,cod_cbr,hybride,puiss_admin_98,puiss_max,typ_boite_nb_rapp,conso_urb,conso_exurb,conso_mixte,co2,co_typ_1,hc,nox,hcnox,ptcl,masse_ordma_min,masse_ordma_max,champ_v9,date_maj,Carrosserie,gamme,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
OPEL,CORSA,CORSA,CORSA 5P 1.2 Twinport BVM5,M10PELVP214T028,S-DKN111A06D5B2DKA5,ES,non,5,63.0,M 5,"7,199999809","4,5",,129.0,"0,300999999","0,032000002","0,025",,,1163,1163,"""715/2007*459/2012EURO5",,BERLINE,INFERIEURE,,,,
MERCEDES,VIANO,VIANO,VIANO 3.0 CDI,M10MCDVP6069574,639/2LBB61305N3A1G2U37,GO,non,15,165.0,A 5,"10,89999962","7,099999905",,224.0,"0,361000001",,"0,256999999","0,289000005",0,2186,2355,"""715/2007*692/2008EURO5",,MINIBUS,MOY-SUPER,,,,
MERCEDES,VITO,VITO,COMBI 116 CDI,M10MCDVPG12R285,639/2KAA31305N3M3C1U28,GO,non,10,120.0,M 6,"9,5","6,699999809",,203.0,"0,046",,"0,196999997","0,216000006",0,2186,2355,"""715/2007*692/2008EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,VIANO,VIANO,VIANO 3.5 E,M10MCDVP025U874,639/2LAC91305N1A4H7S27,ES,non,18,190.0,A 5,"16,29999924","9,300000191",,279.0,"0,226999998","0,030999999","0,029999999",,,2025,2075,"""715/2007*692/2008EURO5",,MINIBUS,MOY-SUPER,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 35 L1H1 TDI (109ch),M10VWGVPC495990,2EC2KN4B1349NNEC24WA9,GO,non,8,80.0,M 6,"9,399999619","7,199999809",,208.0,"0,136999995",,"0,214000002","0,238000005","0,001",1976,2783,"""715/2007*195/2013EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,VIANO,VIANO,VIANO 2.2 CDI 4x4,M10MCDVP603R777,639/2LAA33305N3A2G2U38,GO,non,11,120.0,A 5,"11,10000038","7,400000095",,232.0,"0,006",,"0,210999995","0,219999999",0,2186,2355,"""715/2007*692/2008EURO5",,MINIBUS,MOY-SUPER,,,,
MERCEDES,SPRINTER,SPRINTER,SPRINTER COMBI 316 CDI - 37,M10MCDVPF16Y896,906AC35KMMD1350EMEA23WX9,GO,non,10,120.0,M 6,"8,800000191","6,199999809",,189.0,"0,093000002","0,008","1,843000054",,"0,004",2586,2859,"""2005/55*2008/74EEV",,MINIBUS,MOY-INFER,,,,
MERCEDES,VIANO,VIANO,VIANO 2.0 CDI 4x4,M10MCDVP025V099,639/2LAA73280N1A2G2T38,GO,non,9,100.0,A 5,"11,10000038","7,400000095",,232.0,"0,061000001",,"0,228","0,240999997","0,001",2105,2185,"""715/2007*692/2008EURO5",,MINIBUS,MOY-SUPER,,,,
MERCEDES,VIANO,VIANO,VIANO 3.0 CDI,M10MCDVP605U100,639/2LAB61305N3A1C2W37,GO,non,15,165.0,A 5,"10,89999962","7,099999905",,224.0,"0,361000001",,"0,256999999","0,289000005",0,2586,2600,"""715/2007*692/2008EURO5",,MINIBUS,MOY-SUPER,,,,
MERCEDES,VITO,VITO,COMBI 116 CDI,M10MCDVP6108145,639/2KAA31320E2M3E2U38,GO,non,10,120.0,M 6,"8,899999619","6,5",,193.0,"0,046",,"0,196999997","0,216000006",0,2186,2355,"""715/2007*692/2008EURO5",,MINIBUS,MOY-INFER,,,,
