lib_mrq,lib_mod_doss,lib_mod,dscom,cnit,tvv,cod_cbr,hybride,puiss_admin_98,puiss_max,typ_boite_nb_rapp,conso_urb,conso_exurb,conso_mixte,co2,co_typ_1,hc,nox,hcnox,ptcl,masse_ordma_min,masse_ordma_max,champ_v9,date_maj,Carrosserie,gamme,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
SUZUKI,SX4,SX4,SX4 SCROSS 1.6 VVT,M10SUZVP0005634,JYA22SMT1,ES,non,6,88.0,M 5,"6,800000191","4,800000191",55.0,127.0,"0,356999993","0,030999999","0,033",,,1160,1160,715/2007*630/2012EURO6,mars-14,TS TERRAINS/CHEMINS,INFERIEURE,,,,
MERCEDES,SPRINTER,SPRINTER,SPRINTER COMBI 213 CDI - 43,M10MCDVPF13A681,906AC35KHMC1349NLCC2GWA7,GO,non,9,95.0,A 5,"10,5","8,199999809",9100000381.0,241.0,"0,093000002","0,008","1,843000054",,"0,004",2586,2975,"""2005/55*2008/74EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,VIANO,VIANO,VIANO 2.2 CDI,M10MCDVP0233533,639/2LAA31305N2A2G2U38,GO,non,11,120.0,A 5,"10,19999981",7,8199999809.0,216.0,"0,078000002",,"0,224000007","0,232999995","0,001",2186,2355,"""715/2007*692/2008EURO5",,MINIBUS,MOY-SUPER,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 35 L2H2 TDI (163ch),M10VWGVPE07C613,2EC2KM4D1350NMEC24VB9,GO,non,10,120.0,M 6,"9,399999619","7,199999809",8.0,209.0,"0,386000007",,"0,222000003","0,266000003","0,001",2064,2815,"""715/2007*195/2013EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,VITO,VITO,COMBI 116 CDI,M10MCDVP375V500,639/2KAA31305N2A2C2T39,GO,non,11,120.0,A 5,"10,10000038","6,900000095",8100000381.0,213.0,"0,078000002",,"0,224000007","0,232999995","0,001",2076,2185,"""715/2007*692/2008EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,SPRINTER,SPRINTER,SPRINTER COMBI 213 CDI - 32,M10MCDVPF18F329,906AC35KNMC1350NNEB25UA9,GO,non,9,95.0,M 6,"10,30000019","6,800000191",8100000381.0,213.0,"0,48300001",,"0,221000001","0,287",0,2186,2355,"""715/2007*566/2011EURO5",,MINIBUS,MOY-INFER,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 35 L2H2 TDI (109ch) BlueMotion,M10VWGVPE05L042,2EC2KM4B1320NMED25SB7,GO,non,8,80.0,M 6,"9,300000191","7,300000191",8.0,209.0,"0,136999995",,"0,214000002","0,238999993","0,001",2064,2709,"""715/2007*195/2013EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,VITO,VITO,COMBI 113 CDI,M10MCDVP607F773,639/2KAA71280N2M3D1U29,GO,non,9,100.0,M 6,"9,5","6,699999809",7699999809.0,203.0,"0,046",,"0,196999997","0,216000006",0,2186,2200,"""715/2007*692/2008EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,VIANO,VIANO,VIANO 2.0 CDI,M10MCDVP3771091,639/2LAA71305N2M3F1T28,GO,non,9,100.0,M 6,"9,399999619","6,599999905",7599999905.0,200.0,"0,174999997",,"0,225999996","0,247999996","0,001",2076,2185,"""715/2007*692/2008EURO5",,MINIBUS,MOY-SUPER,,,,
MERCEDES,VITO,VITO,COMBI 122 CDI,M10MCDVP372H949,639/2KAB61305N1A1D2S39,GO,non,15,165.0,A 5,"10,80000019","7,099999905",85.0,223.0,"0,352999985",,"0,252999991","0,282000005","0,002",1976,2075,"""715/2007*692/2008EURO5",,MINIBUS,MOY-INFER,,,,
