lib_mrq,lib_mod_doss,lib_mod,dscom,cnit,tvv,cod_cbr,hybride,puiss_admin_98,puiss_max,typ_boite_nb_rapp,conso_urb,conso_exurb,conso_mixte,co2,co_typ_1,hc,nox,hcnox,ptcl,masse_ordma_min,masse_ordma_max,champ_v9,date_maj,Carrosserie,gamme,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
MERCEDES,CLASSE E,E 350,E 350 BLUETEC BERLINE BVA9 FAP,M10MCDVPFZ2E821,212J0BDP0CZCCA501,GO,non,15,185.0,A 9,"6,5","4,800000191",,142.0,"0,361000001",,"0,072999999","0,111000001","0,001",1885,1885,"""715/2007*195/2013EURO6",,BERLINE,LUXE,,,,
MAZDA,MAZDA 3,3,MAZDA3 5P 2.2L SKYACTIV-D (150ch) BVM6,M10MAZVP000A507,BL64261W0,GO,non,7,110.0,M 6,"4,900000095","3,599999905",,107.0,"0,421999991",,"0,052000001","0,096000001",0,1395,1470,715/2007*195/2013EURO6,mars-14,BERLINE,MOY-INFER,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 35 L3H3 TDI (163ch),M10VWGVPE04K139,2EC2KH4D1349ELEC24UA9,GO,non,10,120.0,M 6,"9,399999619","7,199999809",8.0,209.0,"0,386000007",,"0,222000003","0,266000003","0,001",2246,2815,"""715/2007*195/2013EURO5",,MINIBUS,MOY-INFER,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 35 L2H1 TDI (163ch),M10VWGVPC516258,2EC2KN4D1350NMEC24SD9,GO,non,10,120.0,M 6,"9,399999619","7,199999809",8.0,210.0,"0,388000011",,"0,222000003","0,266000003","0,001",2028,2801,"""715/2007*195/2013EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,SPRINTER,SPRINTER,SPRINTER COMBI 213 CDI - 37,M10MCDVPF172705,906AC35KNMC1320EMFC25TA9,GO,non,9,95.0,A 7,10,"7,300000191",,219.0,"0,100000001",,"0,246999994","0,252999991","0,001",2076,2185,"""715/2007*566/2011EURO5",,MINIBUS,MOY-INFER,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 35 L2H1 TDI (109ch),M10VWGVPC491961,2EC2KN4B1349NMED24UB9,GO,non,8,80.0,M 6,"9,899999619","7,400000095",,218.0,"0,136999995",,"0,214000002","0,238000005","0,001",2028,2801,"""715/2007*195/2013EURO5",,MINIBUS,MOY-INFER,,,,
VOLKSWAGEN,CRAFTER,CRAFTER,CRAFTER COMBI 35 L1H2 TDI (109ch) BlueMotion,M10VWGVPE05B614,2EC2KM4B1350NNEC25WA9,GO,non,7,80.0,M 6,"8,800000191","6,699999809",,197.0,"0,202999994",,"0,214000002","0,238999993","0,001",1982,2805,"""715/2007*195/2013EURO5",,MINIBUS,MOY-INFER,,,,
MERCEDES,SPRINTER,SPRINTER,SPRINTER COMBI 4x4 316 CDI - 37,M10MCDVPF19Z675,906AC35/4x4KNMD2350EMED65VA9,GO,non,11,120.0,M 6,"11,19999981","7,300000191",,232.0,"0,130999997",,"0,225999996","0,257999986",0,2356,2585,"""715/2007*566/2011EURO5",,MINIBUS,MOY-INFER,,,,
BMW,SERIE 3,320,320i Cabriolet,M10BMWVP0065631,3CDV515B,ES,non,10,125.0,A 6,"9,800000191","5,800000191",,169.0,"0,32100001","0,072999999","0,041000001",,"0,002",1700,1700,"""715/2007*566/2011EURO5",,CABRIOLET,SUPERIEURE,,,,
MERCEDES,VIANO,VIANO,VIANO 2.0 CDI,M10MCDVPG11R868,639/2LBA71305N1M3B1U27,GO,non,9,100.0,M 6,"9,5","6,699999809",,203.0,"0,046",,"0,196999997","0,216000006",0,2186,2355,"""715/2007*692/2008EURO5",,MINIBUS,MOY-SUPER,,,,
